frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
151,robot_1,0,584,97,-26,-21
151,robot_2,1,315,928,362,165
152,ball,-1,675,1081,442,0
152,robot_0,0,625,1065,433,23
152,robot_1,0,584,97,-26,-21
152,robot_2,1,315,928,362,165
153,ball,-1,678,1083,443,-1
153,robot_0,0,624,1065,433,23
153,robot_1,0,582,99,-24,-19
153,robot_2,1,315,928,362,165
154,ball,-1,680,1084,443,-1
154,robot_0,0,624,1065,433,23
154,robot_1,0,582,98,-25,-20
154,robot_2,1,315,928,362,165
155,ball,-1,680,1085,444,-1
155,robot_0,0,626,1066,433,22
155,robot_1,0,582,99,-24,-19
155,robot_2,1,315,928,362,165
156,ball,-1,682,1084,443,-2
156,robot_0,0,627,1065,433,22
156,robot_1,0,583,97,-26,-20
156,robot_2,1,315,928,362,165
157,ball,-1,682,1084,443,-2
157,robot_0,0,629,1064,433,21
157,robot_1,0,584,96,-26,-21
157,robot_2,1,315,928,362,165
158,ball,-1,682,1083,443,-3
158,robot_0,0,629,1062,432,20
158,robot_1,0,584,95,-27,-21
158,robot_2,1,315,928,362,165
159,robot_0,0,629,1060,431,20
159,robot_1,0,584,95,-27,-21
159,robot_2,1,315,928,362,165
160,robot_0,0,631,1059,431,19
160,robot_1,0,584,93,-28,-21
160,robot_2,1,315,928,362,165
161,robot_0,0,631,1054,429,19
161,robot_1,0,584,92,-28,-21
161,robot_2,1,315,928,362,165
162,ball,-1,675,1080,441,0
162,robot_0,0,629,1045,425,19
162,robot_1,0,584,93,-28,-21
162,robot_2,1,315,928,362,165
163,ball,-1,673,1076,440,0
163,robot_0,0,633,1046,426,18
163,robot_1,0,582,97,-26,-20
163,robot_2,1,315,928,362,165
164,robot_0,0,634,1044,425,17
164,robot_1,0,584,93,-28,-21
164,robot_2,1,315,928,362,165
165,robot_0,0,627,1033,421,20
165,robot_1,0,584,95,-27,-21
165,robot_2,1,315,928,362,165
166,robot_0,0,627,1032,420,20
166,robot_1,0,584,95,-27,-21
166,robot_2,1,315,928,362,165
167,robot_0,0,627,1033,421,20
167,robot_1,0,583,97,-26,-20
167,robot_2,1,315,928,362,165
168,robot_0,0,638,1047,427,15
168,robot_1,0,581,103,-22,-19
168,robot_2,1,315,928,362,165
169,robot_0,0,639,1051,428,15
169,robot_1,0,581,102,-23,-19
169,robot_2,1,315,928,362,165
170,robot_0,0,638,1054,429,16
170,robot_1,0,581,102,-23,-19
170,robot_2,1,315,928,362,165
171,robot_0,0,636,1059,431,17
171,robot_1,0,581,103,-22,-19
171,robot_2,1,316,928,362,165
172,robot_0,0,630,1060,431,20
172,robot_1,0,581,103,-22,-19
172,robot_2,1,316,928,362,165
173,ball,-1,669,1093,446,3
173,robot_0,0,626,1063,432,22
173,robot_1,0,581,104,-22,-18
173,robot_2,1,316,928,362,165
174,robot_0,0,620,1062,431,25
174,robot_1,0,582,101,-23,-19
174,robot_2,1,316,928,362,165
175,robot_0,0,618,1066,433,26
175,robot_1,0,596,88,-30,-29
175,robot_2,1,315,928,362,165
176,ball,-1,672,1099,448,2
176,robot_0,0,617,1068,434,27
176,robot_1,0,605,42,-57,-38
176,robot_2,1,315,928,362,165
177,ball,-1,673,1100,449,2
177,robot_0,0,618,1069,434,26
177,robot_1,0,585,71,-41,-24
177,robot_2,1,315,928,362,165
178,ball,-1,674,1101,449,1
178,robot_0,0,618,1068,434,26
178,robot_1,0,584,60,-47,-24
178,robot_2,1,315,928,362,165
179,ball,-1,675,1101,449,1
179,robot_0,0,618,1065,432,26
179,robot_1,0,583,51,-53,-24
179,robot_2,1,316,928,362,165
180,ball,-1,676,1100,449,0
180,robot_0,0,618,1063,432,26
180,robot_1,0,580,40,-59,-23
180,robot_2,1,316,928,362,165
181,ball,-1,676,1099,449,0
181,robot_0,0,617,1059,430,26
181,robot_1,0,573,34,-63,-19
181,robot_2,1,316,928,362,165
182,ball,-1,676,1097,448,0
182,robot_0,0,617,1057,429,26
182,robot_1,0,573,34,-63,-19
182,robot_2,1,316,928,362,165
183,ball,-1,676,1095,447,0
183,robot_0,0,616,1057,429,26
183,robot_1,0,573,34,-63,-19
183,robot_2,1,316,928,362,165
184,ball,-1,677,1092,446,0
184,robot_0,0,617,1059,430,26
184,robot_1,0,573,34,-63,-19
184,robot_2,1,315,928,362,165
185,ball,-1,677,1087,444,0
185,robot_0,0,616,1060,430,27
185,robot_1,0,573,34,-63,-19
185,robot_2,1,315,928,362,165
186,ball,-1,676,1082,442,0
186,robot_0,0,620,1061,431,25
186,robot_1,0,573,34,-63,-19
186,robot_2,1,315,928,362,165
187,ball,-1,676,1078,441,0
187,robot_0,0,626,1065,433,22
187,robot_1,0,573,34,-63,-19
187,robot_2,1,315,928,362,165
188,ball,-1,676,1074,439,0
188,robot_0,0,628,1067,434,21
188,robot_1,0,573,34,-63,-19
188,robot_2,1,315,928,362,165
189,ball,-1,675,1070,438,0
189,robot_0,0,628,1066,433,21
189,robot_1,0,573,34,-63,-19
189,robot_2,1,315,927,361,165
190,robot_0,0,627,1065,433,22
190,robot_2,1,316,928,362,165
191,robot_0,0,626,1067,434,22
191,robot_2,1,316,928,362,165
192,robot_0,0,622,1066,433,24
192,robot_2,1,315,928,362,165
193,ball,-1,661,1054,431,5
193,robot_0,0,618,1063,432,26
193,robot_2,1,316,928,362,165
194,ball,-1,657,1051,429,6
194,robot_0,0,614,1062,431,28
194,robot_2,1,315,928,362,165
195,ball,-1,653,1048,428,8
195,robot_0,0,611,1062,431,29
195,robot_2,1,315,928,362,165
196,ball,-1,648,1045,426,10
196,robot_0,0,606,1059,429,31
196,robot_2,1,315,928,362,165
197,ball,-1,645,1043,426,12
197,robot_0,0,601,1058,429,34
197,robot_2,1,315,928,362,165
198,ball,-1,642,1039,424,13
198,robot_0,0,596,1058,429,36
198,robot_2,1,316,928,362,165
199,ball,-1,639,1036,422,14
199,robot_0,0,590,1054,427,39
199,robot_2,1,316,928,362,165
200,ball,-1,635,1033,421,16
200,robot_0,0,586,1053,426,40
200,robot_2,1,316,928,362,165
201,ball,-1,632,1031,420,17
201,robot_0,0,581,1052,425,43
201,robot_2,1,316,928,362,165
202,ball,-1,629,1028,419,19
202,robot_0,0,578,1050,424,44
202,robot_2,1,315,928,362,165
203,ball,-1,625,1025,417,20
203,robot_0,0,574,1049,424,46
203,robot_2,1,315,928,362,165
204,ball,-1,623,1023,417,21
204,robot_0,0,570,1049,424,48
204,robot_2,1,315,928,362,165
205,ball,-1,619,1021,416,23
205,robot_0,0,566,1050,424,50
205,robot_2,1,315,928,362,165
206,ball,-1,616,1018,414,24
206,robot_0,0,556,1041,420,54
206,robot_2,1,315,928,362,165
207,ball,-1,613,1016,413,25
207,robot_0,0,557,1054,425,54
207,robot_2,1,316,928,362,165
208,ball,-1,610,1013,412,27
208,robot_0,0,547,1046,421,59
208,robot_2,1,315,928,362,165
209,ball,-1,608,1012,411,28
209,robot_0,0,550,1063,428,58
209,robot_2,1,315,928,362,165
210,ball,-1,605,1010,410,29
210,robot_0,0,538,1051,423,63
210,robot_2,1,315,928,362,165
211,ball,-1,603,1008,410,30
211,robot_0,0,542,1068,429,62
211,robot_2,1,315,928,362,165
212,ball,-1,600,1005,408,31
212,robot_0,0,538,1066,428,64
212,robot_2,1,315,928,362,165
213,ball,-1,597,1004,408,33
213,robot_0,0,538,1065,428,64
213,robot_2,1,315,928,362,165
214,ball,-1,595,1002,407,33
214,robot_0,0,532,1050,422,66
214,robot_2,1,316,929,362,165
215,ball,-1,592,1000,406,35
215,robot_0,0,542,1060,426,62
215,robot_2,1,316,932,363,165
216,ball,-1,590,998,405,36
216,robot_0,0,545,1058,426,60
216,robot_2,1,316,934,364,165
217,ball,-1,588,996,404,36
217,robot_0,0,548,1054,424,59
217,robot_2,1,316,934,364,165
218,ball,-1,586,995,403,37
218,robot_0,0,545,1040,419,59
218,robot_2,1,316,933,364,165
219,ball,-1,583,993,403,39
219,robot_0,0,554,1045,421,55
219,robot_2,1,316,933,364,165
220,ball,-1,581,992,402,40
220,robot_0,0,559,1041,420,53
220,robot_2,1,316,933,364,165
221,ball,-1,583,987,400,38
221,robot_0,0,563,1035,418,50
221,robot_2,1,316,933,364,165
222,ball,-1,584,982,398,38
222,robot_0,0,566,1032,417,49
222,robot_2,1,316,933,364,165
223,ball,-1,585,978,397,37
